file,label,statement,subject,speaker,job_title,state_info,party_affiliation,barely_true,false,half_true,mostly_true,pants_fire,context,Cohere-Command-R-Plus
3030.json,False,"Youll find blacks in almost every regiment throughout the South who fought right alongside white Southerners, during the Civil War.",history,ray-mcberry,,,republican,0.0,0.0,0.0,0.0,1.0,a radio interview,conspiracy
3890.json,False,Accuses President Barack Obama of making contradictory claims about efforts to kill Osama bin Laden in 2008 and 2011.,"homeland-security,military,terrorism",chain-email,,,none,11.0,43.0,8.0,5.0,105.0,a chain e-mail,Conspiracy
1044.json,False,"If you actually took the number of Muslims [sic] Americans, we'd be one of the largest Muslim countries in the world.",religion,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,interview with Canal Plus Television,"conspiracy, emotion"
2641.json,False,Says Texas voters are being asked to act this November on a proposed constitutional amendment affecting property taxes.,"elections,taxes",chain-email,,,none,11.0,43.0,8.0,5.0,105.0,a chain e-mail.,conspiracy
13218.json,False,Says 11 straight years of no major hurricanes striking land in the United States bores a hole right through the whole climate change argument.,climate-change,rush-limbaugh,Radio host,,none,9.0,11.0,5.0,2.0,10.0,a radio show broadcast,"conspiracy, discredit"
3820.json,False,Members of Congress receive full pay retirement after serving one term.,"federal-budget,income,public-service,retirement,social-security",chain-email,,,none,11.0,43.0,8.0,5.0,105.0,a message via the Internet,conspiracy
12391.json,False,"Says Demond Means, turnaround district superintendent for Milwaukee Public Schools, said the district needs to be gutted.",education,wisconsin-jobs-now,,Wisconsin,none,0.0,0.0,0.0,0.0,1.0,a Facebook posting.,"Conspiracy, Discredit"
5400.json,False,"Says in the last 20 years, the French have not stood by the United States on foreign policy.","foreign-policy,history,military",rick-santorum,,Pennsylvania,republican,12.0,16.0,13.0,7.0,5.0,a campaign event,conspiracy
12652.json,False,Says Attorney General Loretta Lynch was a member of Bill Clintons defense team during the 1992 Whitewater corruption probe.,"candidates-biography,crime,criminal-justice,history",viral-image,,,none,5.0,5.0,0.0,3.0,15.0,a posting on Twitter,conspiracy
13453.json,False,"Says thousands at a Manhattan rally for Donald Trump were chanting We hate Muslims, we hate blacks, we want our great country back.","diversity,islam",social-media,,,none,0.0,0.0,0.0,0.0,2.0,a viral Tweet,"conspiracy, emotion, trolling"
11079.json,False,Christian Pastor in Vermont Sentenced to One Year in Prison After Refusing to Marry Gay Couple,"diversity,legal-issues,marriage",blog-posting,,,none,7.0,19.0,3.0,5.0,44.0,a headline on the website NewsExaminer,"conspiracy, discredit"
10645.json,False,Recent solar energy policies in Georgia have resulted in rate hikes and did not result in solar becoming any more economically viable.,energy,americans-prosperity-florida,advocacy group,Florida,none,2.0,0.0,0.0,0.0,1.0,a news release,conspiracy
6564.json,False,Says President Obama has waived the work requirement for welfare.,welfare,rick-santorum,,Pennsylvania,republican,12.0,16.0,13.0,7.0,5.0,a convention speech,"conspiracy, discredit"
12570.json,False,Says Hillary Clinton has even deleted this record of total support (for the Trans-Pacific Partnership trade agreement) from her book.,"candidates-biography,economy,foreign-policy,history,job-accomplishments,trade",donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,a speech,"conspiracy, discredit"
1861.json,False,Barbara Boxers worried about the weather instead of terrorism as the biggest threat to national security.,"candidates-biography,environment,homeland-security,message-machine,terrorism",carly-fiorina,,California,republican,5.0,5.0,4.0,3.0,2.0,a campaign commercial,"conspiracy, emotion"
375.json,False,"Obama ""basically threatened to bomb Pakistan.""",foreign-policy,hillary-clinton,Presidential candidate,New York,democrat,40.0,29.0,69.0,76.0,7.0,"a debate in Cleveland, Ohio.","conspiracy, discredit"
6739.json,False,Redistribution has never been a characteristic of America.,"economy,federal-budget,history,taxes",mitt-romney,Former governor,Massachusetts,republican,34.0,32.0,58.0,33.0,19.0,remarks in Atlanta,conspiracy
2827.json,False,Said they reached a power-sharing agreement with Republican Lt. Gov. Casey Cagle,elections,republican-state-senators,,,republican,0.0,0.0,0.0,0.0,1.0,Statements to reporters,Conspiracy
8720.json,False,"Earlier this year, [John DePetro] was accused of sexually assaulting a female co-worker.","crime,legal-issues,pundits,unions,women",our-daughters-ri,,Rhode Island,organization,0.0,0.0,0.0,0.0,1.0,an online petition,conspiracy
1186.json,False,"Photo of ""tea party"" protests shows crowd sprawling from Capitol to Washington Monument",history,blog-posting,,,none,7.0,19.0,3.0,5.0,44.0,conservative blogs,"conspiracy, discredit"
3074.json,False,"If the Stamp Farm wind turbine is built, the health risk of flicker impact created by shadows of blades of turbines poses real and significant health risks, particularly seizures.","energy,environment",laurence-ehrhardt,State Representative,Rhode Island,republican,0.0,0.0,0.0,0.0,1.0,a commentary in The Providence Journal,conspiracy
2434.json,False,"Under Tom Barretts leadership, violent crime in Milwaukee has decreased by over 20% -- to its lowest levels in more than 20 years.","crime,job-accomplishments",tom-barrett,Mayor of Milwaukee,Wisconsin,democrat,2.0,5.0,8.0,5.0,3.0,a statement on campaign web site,conspiracy
1868.json,False,Barack Obama appeared in the video for 'Whoomp! (There it is!)',"candidates-biography,job-accomplishments",blog-posting,,,none,7.0,19.0,3.0,5.0,44.0,a rumor widely discussed on the Internet.,"conspiracy, trolling"
9280.json,False,Residential property taxes [in Providence] are up nearly 27 percent under Mayor Taveras.,"city-budget,job-accomplishments,campaign-advertising,taxes",gina-raimondo,venture capital company founder,Rhode Island,democrat,2.0,1.0,2.0,5.0,1.0,a news release,conspiracy
3350.json,False,Says Michelle Obama has 43 people on her staff; Nancy Reagan had just 3.,"deficit,federal-budget,pundits",glenn-beck,,,none,5.0,7.0,7.0,2.0,6.0,his radio program,conspiracy
5019.json,False,"Ever wonder why no one ever came forward from Obamas past, saying they knew him, attended school with him, was his friend, etc.? Not one person has ever come forward from his past.",candidates-biography,chain-email,,,none,11.0,43.0,8.0,5.0,105.0,a chain e-mail,conspiracy
8058.json,False,The president by executive order could grant voting rights to illegal immigrants who are newly legalized under pending legislation.,"elections,immigration,legal-issues",michele-bachmann,Congresswoman,Minnesota,republican,8.0,22.0,6.0,4.0,16.0,an interview with World Net Daily,Conspiracy
1321.json,False,"Maj. Nidal Hasan, the man accused of the Fort Hood shootings, ""was an ADVISOR to the Obama Administration.""","military,terrorism",chain-email,,,none,11.0,43.0,8.0,5.0,105.0,an e-mail circulated to many people.,"Conspiracy, Discredit"
6022.json,False,Scott Walker has a plan to privatize state lands and wants to sell our deer to the highest bidder.,recreation,tom-barrett,Mayor of Milwaukee,Wisconsin,democrat,2.0,5.0,8.0,5.0,3.0,a web ad,"conspiracy, emotion"
4395.json,False,"(U.S. Reps.) Paul Ryan, Sean Duffy and Reid Ribble are shutting down town hall meetings, or making their constituents pay to attend them.",medicare,state-democratic-party-wisconsin,,Wisconsin,democrat,5.0,7.0,2.0,2.0,7.0,an email to party supporters,"Conspiracy, Discredit"
2502.json,False,"Rick Perry thinks injecting 11- and 12-year-old girls with a controversial drug (the HPV vaccine), without a parents consent, is a good idea.","children,message-machine",lone-star-first,,Texas,none,0.0,0.0,0.0,0.0,1.0,a TV ad,"conspiracy, emotion"
7290.json,False,"Says U.S. Rep. John Barrow, D-Ga., celebrates gun ownership even in the face of school shootings.",guns,coalition-stop-gun-violence,,,organization,0.0,0.0,0.0,0.0,1.0,in a video,"conspiracy, discredit"
1163.json,False,"Schoolchildren across the nation ""will be forced to watch the president justify his plans for government-run health care, banks, and automobile companies, increasing taxes on those who create jobs, and racking up more debt than any other president.""",education,republican-party-florida,,,republican,10.0,6.0,6.0,6.0,4.0,a press release,"conspiracy, emotion"
4083.json,False,Former Atlanta Public Schools Superintendent Beverly Hall left the school district significantly better than she found it.,education,shirley-franklin,,Georgia,democrat,0.0,0.0,1.0,0.0,1.0,a blog post,Emotion
1904.json,False,"Ninety-four percent of the bills that pass the Senate have no debate, no vote, no amendments, no reading of the bill, no online disclosure.","government-efficiency,transparency",jim-demint,"President, Heritage Foundation",South Carolina,republican,4.0,4.0,0.0,0.0,1.0,YouTube video of a floor speech,conspiracy
1584.json,False,The economy began its nose dive when Democrats took control of Congress in January 2007.,economy,virginia-foxx,U.S. Representative,North Carolina,republican,0.0,0.0,0.0,1.0,1.0,a speech on the House floor,"Conspiracy, Discredit"
5313.json,False,If you sell your house after 2012 you will pay a 3.8 percent sales tax on it.,"economy,health-care,housing,income,retirement,taxes",chain-email,,,none,11.0,43.0,8.0,5.0,105.0,a message via the Internet,conspiracy
2587.json,False,"Says Steve Kagen promised us jobs, voting for the $787 billion stimulus. Cost: another 77,000 jobs lost.","jobs,message-machine,stimulus",national-republican-congressional-committee,,,republican,18.0,9.0,8.0,5.0,8.0,a campaign TV ad,discredit
8773.json,False,"During the lead-up to the American Revolutionary War, some guy in Boston got his head blown off because he tried to secretly raise the tax on tea.","economy,history",andrea-tantaros,"Co-host on Fox News Channel's ""The Five""",,none,0.0,0.0,0.0,0.0,1.0,"comments on Fox News Channel's ""The Five""",conspiracy
11109.json,False,President Barack Obama met with Iranian president Hassan Rouhani.,"foreign-policy,military,nuclear,terrorism",restoration-pac,,,organization,1.0,0.0,0.0,0.0,1.0,a TV ad,conspiracy
10054.json,False,At least 10 ISIS fighters have been caught coming across the Mexican border in Texas and there are dozens more that did not get caught by the Border Patrol.,terrorism,duncan-hunter-2,Congressman,California,republican,0.0,0.0,0.0,0.0,1.0,an interview with Greta Van Susteren of Fox News,"conspiracy, emotion, discredit"
2189.json,False,Obama admits he is not a citizen.,"candidates-biography,obama-birth-certificate",chain-email,,,none,11.0,43.0,8.0,5.0,105.0,referring to a YouTube video,"conspiracy, discredit"
916.json,False,"The stimulus bill includes ""$300,000 for a sculpture garden in Miami.""","economy,stimulus",eric-cantor,House Majority Leader,Virginia,republican,9.0,6.0,4.0,4.0,4.0,an interview on the Fox News Channel.,Conspiracy
7867.json,False,Says Gov. John Kasich implied that a portion of workers compensation rebates to employers should be directed back to him in the form of campaign cash.,"campaign-finance,workers",tom-letson,Representative,Ohio,democrat,0.0,0.0,0.0,0.0,1.0,an emailed news release,"Conspiracy, Discredit"
3846.json,False,"The Central Falls School system spent $100,000 on a time clock.","city-budget,education,government-efficiency",john-tassoni-jr,President of The Sentinel Group,Rhode Island,democrat,0.0,0.0,0.0,0.0,1.0,a news release,conspiracy
11402.json,False,Says Donald Trumps Make America Great Againhats were made in China.,china,tweets,,,none,2.0,3.0,1.0,2.0,3.0,tweets,"Conspiracy, Trolling"
7844.json,False,The National Rifle Association was founded by religious leaders who wanted to protect freed slaves from the Ku Klux Klan.,"civil-rights,guns,religion",harry-alford,,,business-leader,0.0,0.0,0.0,0.0,1.0,a news conference,"conspiracy, discredit"
2461.json,False,Says John Boehner admits we are not going to be any different than weve been by returning to the same failed economic policies that wrecked our economy.,economy,nancy-pelosi,House Minority Leader,California,democrat,3.0,7.0,11.0,2.0,3.0,a blog post,"conspiracy, discredit"
12090.json,False,The right-wing extremists are trying to take this seat so they can push their anti-choice and anti-equality agenda through our State House.,campaign-advertising,brian-sims,"State Rep., 182nd District",Pennsylvania,democrat,0.0,0.0,0.0,0.0,1.0,In a fundraising email to supporters,"conspiracy, emotion"
5717.json,False,"Sen. Sherrod Browns vote helped pass Barack Obamas job-killing health care law, which slapped small businesses throughout Ohio with a $500 billion tax increase.","health-care,taxes",national-republican-senatorial-committee,,,republican,11.0,5.0,7.0,2.0,5.0,a news release,"conspiracy, discredit"
1531.json,False,I'm glad for the wording of it (an ethics report on corporate-sponsored Congressional trips) because clearly the wording exonerates me.,ethics,charles-rangel,U.S. Congressman,New York,democrat,0.0,0.0,1.0,0.0,1.0,a press conference,"Conspiracy, Discredit"
9421.json,False,Ken Block supports Obamacare.,"economy,health-care,message-machine-2014",allan-fung,"mayor, city of Cranston, R.I.",Rhode Island,republican,2.0,2.0,0.0,2.0,1.0,a TV commercial,"conspiracy, impersonation"
12276.json,False,Says its absurd to say theres enough data to establish a link between playing football and Chronic Traumatic Encephalopathy.,"health-care,science,sports",jerry-jones,"Owner, president, general manager, Dallas Cowboys",Texas,none,0.0,1.0,0.0,0.0,1.0,remarks to reporters at NFL annual meeting,discredit
11183.json,False,Says Jill McCabe supports late term abortions. Larger baby parts are more profitable.,abortion,dick-black,,,republican,0.0,0.0,0.0,0.0,1.0,a tweet,"conspiracy, emotion"
13151.json,False,Say photographs of Hillary Clinton at the debate show what could be an earpiece.,candidates-biography,blog-posting,,,none,7.0,19.0,3.0,5.0,44.0,Internet posts,conspiracy
10087.json,False,2014 Federal Tax Refunds To Be Delayed Until October 2015.,taxes,chain-email,,,none,11.0,43.0,8.0,5.0,105.0,a chain email,Conspiracy
9418.json,False,"U.S. Reps. Eric Cantor and Luis Gutierrez were touring the country last year joined at the hip, working together in a bipartisan fashion indeed for the goal of immigration reform.",immigration,laura-ingraham,Political commentator and radio talk show host,,none,2.0,5.0,1.0,0.0,1.0,a speech.,conspiracy
11992.json,False,I dont know anything about David Duke.,candidates-biography,donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,comments on CNN's State of the Union,conspiracy
2324.json,False,80 to 85 percent of my campaign funds go to donations to various organizations throughout the City of Providence.,"campaign-finance,candidates-biography",john-lombardi,Providence City Councilman,Rhode Island,democrat,0.0,0.0,0.0,0.0,1.0,a WPRI Channel 12 debate,conspiracy
1148.json,False,Birthers have obtained a copy of Obamas Kenyan birth certificate.,"candidates-biography,obama-birth-certificate",orly-taitz,,,none,0.0,0.0,0.0,0.0,1.0,an attachment to a lawsuit,conspiracy
7671.json,False,"The working tax cut created over 40,000 new jobs in just the last four years.",taxes,associated-industries-florida,,Florida,organization,0.0,0.0,1.0,0.0,1.0,a TV ad,conspiracy
13060.json,False,Says Hillary Clinton had an undercover nurse with her at the Sept. 11 memorial ceremony in New York.,candidates-biography,blog-posting,,,none,7.0,19.0,3.0,5.0,44.0,posts,"Conspiracy, Discredit"
1379.json,False,Sen. Hutchison abandoned Republicans and stood with Democrats to ensure health care legislation would pass quickly.,health-care,rick-perry,Governor,Texas,republican,30.0,30.0,42.0,23.0,18.0,in a press release,"conspiracy, discredit"
4625.json,False,"If a President Romney got a call from the president of the (Mormon church), he has no choice but to obey. It is obedience over family and country.",religion,fred-karger,Republican presidential candidate,California,republican,0.0,0.0,0.0,0.0,1.0,an interview with The Guardian,"conspiracy, emotion"
1932.json,False,"Blue Cross new $90-million Providence headquarters ""was outfitted with $25 million in decor.""",health-care,bill-lynch,Lawyer,Rhode Island,democrat,1.0,0.0,0.0,0.0,1.0,posting on his website,Emotion
13041.json,False,Says Hillary Clinton has not answered a single question about her immigration plan.,immigration,donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,an immigration policy speech in Phoenix,"conspiracy, discredit"
9955.json,False,Was Martha Kanter dispatched to Corvallis with $17 million in stimulus money to save Craig Robinsons job?,stimulus,blog-posting,,,none,7.0,19.0,3.0,5.0,44.0,a chain email,conspiracy
2338.json,False,I asked (then-Secretary of State Condoleezza Rice) how many people had died and she did not know the answer to that question.,"bush-administration,iraq,military",barbara-boxer,U.S. Senator,California,democrat,2.0,0.0,3.0,4.0,1.0,an editorial board interview,conspiracy
2708.json,False,I lost my health insurance and my doctor because of Obamacare.,health-care,reid-ribble,Candidate for 8th District U.S. House seat,Wisconsin,republican,0.0,1.0,1.0,0.0,1.0,a campaign news release,"conspiracy, discredit"
2955.json,False,"Governor-elect Scott Walkers opposition to high-speed rail killed 13,000 Wisconsin jobs","jobs,transportation",state-democratic-party-wisconsin,,Wisconsin,democrat,5.0,7.0,2.0,2.0,7.0,a news release,"conspiracy, discredit"
1302.json,False,I didn't endorse the federal stimulus bill.,"economy,stimulus,taxes",charlie-crist,,Florida,democrat,15.0,9.0,20.0,19.0,2.0,an interview on CNN,discredit
2405.json,False,The stimulus has not created one private sector job.,"economy,stimulus",rick-scott,Governor,Florida,republican,28.0,23.0,38.0,34.0,7.0,a meeting with reporters in Tallahassee,"conspiracy, discredit"
6978.json,False,Virginia papers called (Scott) Rigells campaign Mostly False.,message-machine-2012,paul-hirschbiel,venture capitalist,Virginia,democrat,0.0,0.0,0.0,0.0,1.0,a TV ad.,conspiracy
5066.json,False,Says Wisconsin Gov. Scott Walker eliminated cancer screenings for uninsured women and offered no alternatives.,"corrections-and-updates,health-care,women",gwen-moore,U.S. House member -- 4th District,Wisconsin,democrat,3.0,4.0,4.0,3.0,1.0,tweets,"conspiracy, discredit"
5896.json,False,"Says in regard to providing more tax cuts for the rich, Bill Pascrell said, Republicans had great ideas. I liked some of their ideas.","elections,message-machine-2012,taxes",steve-rothman,,,democrat,1.0,2.0,0.0,1.0,1.0,a video posted on YouTube,"conspiracy, impersonation"
